Date,Close
5/1/2018,30.66
5/2/2018,30.45
5/3/2018,30.13
5/4/2018,30.42
5/7/2018,30.16
5/8/2018,30.26
5/9/2018,29.88
5/10/2018,30.08
5/11/2018,30.35
5/14/2018,30.12
5/15/2018,30.18
5/16/2018,30.62
5/17/2018,30.52
5/18/2018,30.52
5/21/2018,30.84
5/22/2018,30.4
5/23/2018,30.17
5/24/2018,30.59
5/25/2018,31.19
5/29/2018,30.51
5/30/2018,30.44
5/31/2018,30.32
6/1/2018,30.4
6/4/2018,30.81
6/5/2018,30.46
6/6/2018,30.57
6/7/2018,30.42
6/8/2018,30.39
6/11/2018,30.83
6/12/2018,30.67
6/13/2018,30.64
6/14/2018,30.69
6/15/2018,30.79
6/18/2018,30.77
6/19/2018,30.31
6/20/2018,30.49
6/21/2018,30.54
6/22/2018,30.19
6/25/2018,29.52
6/26/2018,29.27
6/27/2018,28.8
6/28/2018,28.76
6/29/2018,28.89
7/2/2018,29.2
7/3/2018,28.97
7/5/2018,29.28
7/6/2018,29.49
7/9/2018,29.81
7/10/2018,29.67
7/11/2018,28.87
7/12/2018,29.41
7/13/2018,29.76
7/16/2018,29.64
7/17/2018,29.86
7/18/2018,30.67
7/19/2018,30.72
7/20/2018,30.54
7/23/2018,30.61
7/24/2018,30.02
7/25/2018,30.43
7/26/2018,31.16
7/27/2018,31.33
7/30/2018,31.09
7/31/2018,31.33
8/1/2018,30.77
8/2/2018,30.79
8/3/2018,31.02
8/6/2018,31.06
8/7/2018,31.26
8/8/2018,31.48
8/9/2018,31.33
8/10/2018,30.78
8/13/2018,30.6
8/14/2018,30.93
8/15/2018,31.09
8/16/2018,31.2
8/17/2018,31.16
8/20/2018,32.07
8/21/2018,32.25
8/22/2018,31.8
8/23/2018,31.74
8/24/2018,31.84
8/27/2018,32.08
8/28/2018,32.5
8/29/2018,32.56
8/30/2018,32.24
8/31/2018,32.44
9/4/2018,32.51
9/5/2018,32.25
9/6/2018,31.91
9/7/2018,31.98
9/10/2018,32.25
9/11/2018,32.42
9/12/2018,32.08
9/13/2018,32.38
9/14/2018,32.44
9/17/2018,32.73
9/18/2018,32.77
9/19/2018,32.96
9/20/2018,32.86
9/21/2018,33.3
9/24/2018,32.5
9/25/2018,32.21
9/26/2018,32.46
9/27/2018,32.66
9/28/2018,32.58
10/1/2018,31.95
10/2/2018,31.45
10/3/2018,31.53
10/4/2018,31.21
10/5/2018,30.83
10/8/2018,30.65
10/9/2018,30
10/10/2018,29
10/11/2018,28.99
10/12/2018,29.23
10/15/2018,29.47
10/16/2018,30.29
10/17/2018,30.63
10/18/2018,29.75
10/19/2018,29.78
10/22/2018,29.95
10/23/2018,29.67
10/24/2018,28.35
10/25/2018,29.03
10/26/2018,28.86
10/29/2018,28.67
10/30/2018,29.49
10/31/2018,29.48
11/1/2018,30.35
11/2/2018,30.63
11/5/2018,30.66
11/6/2018,30.62
11/7/2018,31.35
11/8/2018,31.21
11/9/2018,31.19
11/12/2018,30.88
11/13/2018,31.37
11/14/2018,31.33
11/15/2018,31.18
11/16/2018,30.96
11/19/2018,30.74
11/20/2018,30.26
11/21/2018,30.85
11/23/2018,31.4
11/26/2018,31.28
11/27/2018,31.63
11/28/2018,32.17
11/29/2018,32.21
11/30/2018,32.93
12/3/2018,32.76
12/4/2018,31.25
12/6/2018,31.46
12/7/2018,29.92
12/10/2018,29.83
12/11/2018,29.84
12/12/2018,30.13
12/13/2018,29.39
12/14/2018,29.19
12/17/2018,28.67
12/18/2018,29.33
12/19/2018,28.78
12/20/2018,28.14
12/21/2018,27.51
12/24/2018,26.85
12/26/2018,28.07
12/27/2018,28.01
12/28/2018,27.84
12/31/2018,27.88
1/2/2019,28.05
1/3/2019,26.83
1/4/2019,27.99
1/7/2019,28.3
1/8/2019,28.32
1/9/2019,28.85
1/10/2019,28.72
1/11/2019,28.71
1/14/2019,28.62
1/15/2019,28.7
1/16/2019,29.1
1/17/2019,29.5
1/18/2019,29.6
1/22/2019,29.09
1/23/2019,29.1
1/24/2019,29.84
1/25/2019,30.04
1/28/2019,30.33
1/29/2019,30.51
1/30/2019,30.91
1/31/2019,30.74
2/1/2019,30.95
2/4/2019,31.29
2/5/2019,31.39
2/6/2019,31.36
2/7/2019,31.19
2/8/2019,31.1
2/11/2019,31.31
2/12/2019,31.14
2/13/2019,31.3
2/14/2019,31.28
2/15/2019,31.35
2/19/2019,31.51
2/20/2019,30.99
2/21/2019,30.96
2/22/2019,31.2
2/25/2019,31.33
2/26/2019,31.31
2/27/2019,30.83
2/28/2019,30.84
3/1/2019,30.6
3/4/2019,30.06
3/5/2019,30.07
3/6/2019,29.73
3/7/2019,29.29
3/8/2019,29.07
3/11/2019,29.28
3/12/2019,28.83
3/13/2019,29.31
3/14/2019,29.37
3/15/2019,29.31
3/18/2019,29.21
3/19/2019,29.33
3/20/2019,28.89
3/21/2019,29.09
3/22/2019,28.36
3/25/2019,28.2
3/26/2019,28.27
3/27/2019,28.66
3/28/2019,28.65
3/29/2019,29.19
4/1/2019,29.59
4/2/2019,30.01
4/3/2019,30.41
4/4/2019,30.56
4/5/2019,30.75
4/8/2019,30.56
4/9/2019,30.25
4/10/2019,30.64
4/11/2019,30.99
4/12/2019,30.93
4/15/2019,30.68
4/16/2019,30.87
4/17/2019,31.27
4/18/2019,31.2
4/22/2019,30.79
4/23/2019,31.05
4/24/2019,31.05
4/25/2019,30.7
4/26/2019,30.84
4/29/2019,31.14
4/30/2019,31.32
